Timestamp,Length,Data (Hex),Data (ASCII),Data (Raw)
15:30:54.751,64,2a 2a 2a 2a 2a 2a 20 52 65 63 65 69 76 65 72 20 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 0d 0a 49 44 3a 20 34 32 0d 0a 44 61 74 61 2f 50 61 79 6c 6f 61 64 3a 20 48 65 6c 6c 6f 20,"****** Receiver ******************
ID: 42
Data/Payload: Hello",b'****** Receiver ******************\r\nID: 42\r\nData/Payload: Hello '
15:30:54.813,64,66 72 6f 6d 20 45 53 50 33 32 20 28 54 72 61 6e 73 6d 69 74 74 65 72 29 0d 0a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a,"from ESP32 (Transmitter)
**************************************",b'from ESP32 (Transmitter)\r\n**************************************'
15:30:54.887,64,2a 2a 2a 2a 0d 0a 44 65 63 6f 64 69 6e 67 2e 2e 2e 0d 0a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 20 52 65 63 65 69 76 65 72 20 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a,"****
Decoding...
****************** Receiver *****************",b'****\r\nDecoding...\r\n****************** Receiver *****************'
15:30:54.948,64,2a 0d 0a 49 44 3a 20 34 32 0d 0a 44 61 74 61 2f 50 61 79 6c 6f 61 64 3a 20 48 65 6c 6c 6f 20 66 72 6f 6d 20 45 53 50 33 32 20 28 54 72 61 6e 73 6d 69 74 74 65 72 29 0d 0a 2a 2a 2a 2a 2a 2a 2a,"*
ID: 42
Data/Payload: Hello from ESP32 (Transmitter)
*******",b'*\r\nID: 42\r\nData/Payload: Hello from ESP32 (Transmitter)\r\n*******'
15:30:55.020,64,2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 0d 0a 44 65 63 6f 64 69 6e 67 2e 2e 2e 0d 0a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a,"***********************************
Decoding...
**************",b'***********************************\r\nDecoding...\r\n**************'
15:30:55.081,64,2a 2a 2a 2a 20 52 65 63 65 69 76 65 72 20 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 0d 0a 49 44 3a 20 34 32 0d 0a 44 61 74 61 2f 50 61 79 6c 6f 61 64 3a 20 48 65 6c 6c 6f 20 66 72,"**** Receiver ******************
ID: 42
Data/Payload: Hello fr",b'**** Receiver ******************\r\nID: 42\r\nData/Payload: Hello fr'
15:30:55.153,64,6f 6d 20 45 53 50 33 32 20 28 54 72 61 6e 73 6d 69 74 74 65 72 29 0d 0a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a,"om ESP32 (Transmitter)
****************************************",b'om ESP32 (Transmitter)\r\n****************************************'
15:30:55.215,64,2a 2a 0d 0a 53 65 72 69 61 6c 32 20 6e 6f 74 20 61 76 61 69 6c 61 62 6c 65 2e 2e 2e 0d 0a 44 65 63 6f 64 69 6e 67 2e 2e 2e 0d 0a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 20 52 65,"**
Serial2 not available...
Decoding...
****************** Re",b'**\r\nSerial2 not available...\r\nDecoding...\r\n****************** Re'
15:30:55.287,64,63 65 69 76 65 72 20 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 0d 0a 49 44 3a 20 34 32 0d 0a 44 61 74 61 2f 50 61 79 6c 6f 61 64 3a 20 48 65 6c 6c 6f 20 66 72 6f 6d 20 45 53 50 33,"ceiver ******************
ID: 42
Data/Payload: Hello from ESP3",b'ceiver ******************\r\nID: 42\r\nData/Payload: Hello from ESP3'
15:30:55.350,64,32 20 28 54 72 61 6e 73 6d 69 74 74 65 72 29 0d 0a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 0d 0a 44 65 63,"2 (Transmitter)
******************************************
Dec",b'2 (Transmitter)\r\n******************************************\r\nDec'
15:30:55.415,64,6f 64 69 6e 67 2e 2e 2e 0d 0a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 20 52 65 63 65 69 76 65 72 20 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 0d 0a 49 44 3a 20 34 32,"oding...
****************** Receiver ******************
ID: 42",b'oding...\r\n****************** Receiver ******************\r\nID: 42'
15:30:55.488,64,0d 0a 44 61 74 61 2f 50 61 79 6c 6f 61 64 3a 20 48 65 6c 6c 6f 20 66 72 6f 6d 20 45 53 50 33 32 20 28 54 72 61 6e 73 6d 69 74 74 65 72 29 0d 0a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a,"Data/Payload: Hello from ESP32 (Transmitter)
****************",b'\r\nData/Payload: Hello from ESP32 (Transmitter)\r\n****************'
15:30:55.549,64,2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 0d 0a 44 65 63 6f 64 69 6e 67 2e 2e 2e 0d 0a 44 65 63 6f 64 69 6e 67 20 66 61 69 6c 65 64 21 0d 0a 44 65 63 6f 64,"**************************
Decoding...
Decoding failed!
Decod",b'**************************\r\nDecoding...\r\nDecoding failed!\r\nDecod'
15:30:55.620,64,69 6e 67 2e 2e 2e 0d 0a 44 65 63 6f 64 69 6e 67 20 66 61 69 6c 65 64 21 0d 0a 53 65 72 69 61 6c 32 20 6e 6f 74 20 61 76 61 69 6c 61 62 6c 65 2e 2e 2e 0d 0a 53 65 72 69 61 6c 32 20 6e 6f 74 20,"ing...
Decoding failed!
Serial2 not available...
Serial2 not",b'ing...\r\nDecoding failed!\r\nSerial2 not available...\r\nSerial2 not '
15:30:55.681,64,61 76 61 69 6c 61 62 6c 65 2e 2e 2e 0d 0a 53 65 72 69 61 6c 32 20 6e 6f 74 20 61 76 61 69 6c 61 62 6c 65 2e 2e 2e 0d 0a 44 65 63 6f 64 69 6e 67 2e 2e 2e 0d 0a 44 65 63 6f 64 69 6e 67 20 66 61,"available...
Serial2 not available...
Decoding...
Decoding fa",b'available...\r\nSerial2 not available...\r\nDecoding...\r\nDecoding fa'
15:30:55.754,64,69 6c 65 64 21 0d 0a 44 65 63 6f 64 69 6e 67 2e 2e 2e 0d 0a 44 65 63 6f 64 69 6e 67 20 66 61 69 6c 65 64 21 0d 0a 53 65 72 69 61 6c 32 20 6e 6f 74 20 61 76 61 69 6c 61 62 6c 65 2e 2e 2e 0d 0a,"iled!
Decoding...
Decoding failed!
Serial2 not available...",b'iled!\r\nDecoding...\r\nDecoding failed!\r\nSerial2 not available...\r\n'
15:30:55.814,64,53 65 72 69 61 6c 32 20 6e 6f 74 20 61 76 61 69 6c 61 62 6c 65 2e 2e 2e 0d 0a 53 65 72 69 61 6c 32 20 6e 6f 74 20 61 76 61 69 6c 61 62 6c 65 2e 2e 2e 0d 0a 53 65 72 69 61 6c 32 20 6e 6f 74 20,"Serial2 not available...
Serial2 not available...
Serial2 not",b'Serial2 not available...\r\nSerial2 not available...\r\nSerial2 not '
15:30:55.886,64,61 76 61 69 6c 61 62 6c 65 2e 2e 2e 0d 0a 53 65 72 69 61 6c 32 20 6e 6f 74 20 61 76 61 69 6c 61 62 6c 65 2e 2e 2e 0d 0a 44 65 63 6f 64 69 6e 67 2e 2e 2e 0d 0a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a,"available...
Serial2 not available...
Decoding...
***********",b'available...\r\nSerial2 not available...\r\nDecoding...\r\n***********'
15:30:55.948,64,2a 2a 2a 2a 2a 2a 2a 20 52 65 63 65 69 76 65 72 20 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 0d 0a 49 44 3a 20 34 32 0d 0a 44 61 74 61 2f 50 61 79 6c 6f 61 64 3a 20 48 65 6c 6c 6f,"******* Receiver ******************
ID: 42
Data/Payload: Hello",b'******* Receiver ******************\r\nID: 42\r\nData/Payload: Hello'
15:30:56.020,64,20 66 72 6f 6d 20 45 53 50 33 32 20 28 54 72 61 6e 73 6d 69 74 74 65 72 29 0d 0a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a,"from ESP32 (Transmitter)
*************************************",b' from ESP32 (Transmitter)\r\n*************************************'
15:30:56.081,64,2a 2a 2a 2a 2a 0d 0a 44 65 63 6f 64 69 6e 67 2e 2e 2e 0d 0a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 20 52 65 63 65 69 76 65 72 20 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a,"*****
Decoding...
****************** Receiver ****************",b'*****\r\nDecoding...\r\n****************** Receiver ****************'
15:30:56.153,64,2a 2a 0d 0a 49 44 3a 20 34 32 0d 0a 44 61 74 61 2f 50 61 79 6c 6f 61 64 3a 20 48 65 6c 6c 6f 20 66 72 6f 6d 20 45 53 50 33 32 20 28 54 72 61 6e 73 6d 69 74 74 65 72 29 0d 0a 2a 2a 2a 2a 2a 2a,"**
ID: 42
Data/Payload: Hello from ESP32 (Transmitter)
******",b'**\r\nID: 42\r\nData/Payload: Hello from ESP32 (Transmitter)\r\n******'
15:30:56.215,64,2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 0d 0a 44 65 63 6f 64 69 6e 67 2e 2e 2e 0d 0a 44 65 63 6f 64 69 6e 67 20 66 61 69 6c,"************************************
Decoding...
Decoding fail",b'************************************\r\nDecoding...\r\nDecoding fail'
15:30:56.288,64,65 64 21 0d 0a 44 65 63 6f 64 69 6e 67 2e 2e 2e 0d 0a 44 65 63 6f 64 69 6e 67 20 66 61 69 6c 65 64 21 0d 0a 53 65 72 69 61 6c 32 20 6e 6f 74 20 61 76 61 69 6c 61 62 6c 65 2e 2e 2e 0d 0a 53 65,"ed!
Decoding...
Decoding failed!
Serial2 not available...
Se",b'ed!\r\nDecoding...\r\nDecoding failed!\r\nSerial2 not available...\r\nSe'
15:30:56.350,64,72 69 61 6c 32 20 6e 6f 74 20 61 76 61 69 6c 61 62 6c 65 2e 2e 2e 0d 0a 53 65 72 69 61 6c 32 20 6e 6f 74 20 61 76 61 69 6c 61 62 6c 65 2e 2e 2e 0d 0a 44 65 63 6f 64 69 6e 67 2e 2e 2e 0d 0a 44,"rial2 not available...
Serial2 not available...
Decoding...
D",b'rial2 not available...\r\nSerial2 not available...\r\nDecoding...\r\nD'
15:30:56.422,64,65 63 6f 64 69 6e 67 20 66 61 69 6c 65 64 21 0d 0a 44 65 63 6f 64 69 6e 67 2e 2e 2e 0d 0a 44 65 63 6f 64 69 6e 67 20 66 61 69 6c 65 64 21 0d 0a 44 65 63 6f 64 69 6e 67 2e 2e 2e 0d 0a 44 65 63,"ecoding failed!
Decoding...
Decoding failed!
Decoding...
Dec",b'ecoding failed!\r\nDecoding...\r\nDecoding failed!\r\nDecoding...\r\nDec'
15:30:56.485,64,6f 64 69 6e 67 20 66 61 69 6c 65 64 21 0d 0a 53 65 72 69 61 6c 32 20 6e 6f 74 20 61 76 61 69 6c 61 62 6c 65 2e 2e 2e 0d 0a 53 65 72 69 61 6c 32 20 6e 6f 74 20 61 76 61 69 6c 61 62 6c 65 2e 2e,"oding failed!
Serial2 not available...
Serial2 not available..",b'oding failed!\r\nSerial2 not available...\r\nSerial2 not available..'
